Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated
1,15:49:27.526,Pigeon,pistol,0.313s,2,1,0.5,50,250,0.2,false
2,15:49:28.533,Pigeon,pistol,0s,1,1,1,50,125,0.4,false
3,15:49:30.387,Pigeon,pistol,1.305s,2,1,0.5,50,250,0.2,false
4,15:49:31.408,Pigeon,pistol,0s,1,1,1,50,125,0.4,false
5,15:49:33.053,Pigeon,pistol,0s,1,1,1,50,125,0.4,false
6,15:49:34.332,Pigeon,pistol,0s,1,1,1,50,125,0.4,false
7,15:49:35.977,Pigeon,pistol,0s,1,1,1,50,125,0.4,false
8,15:49:37.220,Pigeon,pistol,0s,1,1,1,50,125,0.4,false
9,15:49:38.971,Pigeon,pistol,0s,1,1,1,50,125,0.4,false
10,15:49:40.166,Pigeon,pistol,0s,1,1,1,50,125,0.4,false
11,15:49:43.207,Pigeon,pistol,1.549s,2,1,0.5,50,250,0.2,false
12,15:49:44.415,Pigeon,pistol,0s,1,1,1,50,125,0.4,false
13,15:49:45.693,Pigeon,pistol,0s,1,1,1,50,125,0.4,false
14,15:49:47.145,Pigeon,pistol,0s,1,1,1,50,125,0.4,false
15,15:49:48.534,Pigeon,pistol,0.847s,2,1,0.5,50,250,0.2,false
16,15:49:49.013,Pigeon,pistol,0s,1,1,1,50,125,0.4,false
17,15:49:49.978,Pigeon,pistol,0s,1,1,1,50,125,0.4,false
18,15:49:50.915,Pigeon,pistol,0s,1,1,1,50,125,0.4,false
19,15:49:51.895,Pigeon,pistol,0s,1,1,1,50,125,0.4,false
20,15:49:52.617,Pigeon,pistol,0s,1,1,1,50,125,0.4,false
21,15:49:55.145,Pigeon,pistol,1.882s,3,1,0.333,50,375,0.133,false
22,15:49:55.950,Pigeon,pistol,0s,1,1,1,50,125,0.4,false
23,15:49:57.521,Pigeon,pistol,0s,1,1,1,50,125,0.4,false
24,15:49:58.610,Pigeon,pistol,0s,1,1,1,50,125,0.4,false
25,15:49:59.943,Pigeon,pistol,0s,1,1,1,50,125,0.4,false
26,15:50:01.541,Pigeon,pistol,1.049s,2,1,0.5,50,250,0.2,false
27,15:50:02.777,Pigeon,pistol,0s,1,1,1,50,125,0.4,false
28,15:50:03.694,Pigeon,pistol,0s,1,1,1,50,125,0.4,false
29,15:50:05.264,Pigeon,pistol,0.446s,2,1,0.5,50,250,0.2,false
30,15:50:06.979,Pigeon,pistol,0s,1,1,1,50,125,0.4,false
31,15:50:09.430,Pigeon,pistol,1.576s,2,1,0.5,50,250,0.2,false
32,15:50:12.437,Pigeon,pistol,1.305s,2,1,0.5,50,250,0.2,false
33,15:50:13.485,Pigeon,pistol,0s,1,1,1,50,125,0.4,false
34,15:50:15.742,Pigeon,pistol,1.36s,2,1,0.5,50,250,0.2,false
35,15:50:16.986,Pigeon,pistol,0.361s,2,1,0.5,50,250,0.2,false
36,15:50:18.465,Pigeon,pistol,0s,1,1,1,50,125,0.4,false
37,15:50:19.493,Pigeon,pistol,0s,1,1,1,50,125,0.4,false
38,15:50:21.319,Pigeon,pistol,0.992s,2,1,0.5,50,250,0.2,false
39,15:50:22.312,Pigeon,pistol,0s,1,1,1,50,125,0.4,false
40,15:50:24.306,Pigeon,pistol,1.397s,3,1,0.333,50,375,0.133,false
41,15:50:25.535,Pigeon,pistol,0s,1,1,1,50,125,0.4,false
42,15:50:26.793,Pigeon,pistol,0s,1,1,1,50,125,0.4,false
43,15:50:28.384,Pigeon,pistol,0.897s,2,1,0.5,50,250,0.2,false
44,15:50:30.363,Pigeon,pistol,0.563s,2,1,0.5,50,250,0.2,false
45,15:50:31.217,Pigeon,pistol,0s,1,1,1,50,125,0.4,false
46,15:50:35.106,Pigeon,pistol,2.263s,3,1,0.333,50,375,0.133,false

Weapon,Shots,Hits,Damage Done,Damage Possible,,Sens Scale,Horiz Sens,Vert Sens,FOV,Hide Gun,Crosshair,Crosshair Scale,Crosshair Color,ADS Sens,ADS Zoom Scale
pistol,65,46,2300.0,8125.0,

Kills:,46
Deaths:,0
Fight Time:,18.105
Avg TTK:,1.535
Damage Done:,2300.0
Damage Taken:,0.0
Midairs:,0
Midaired:,0
Directs:,0
Directed:,0
Distance Traveled:,0.0
Score:,32.553848
Scenario:,Bounce 180
Hash:,28c00569c77cdbb9a321ffb8a8363220
Game Version:,2.0.2.0

Input Lag:,0
Max FPS (config):,144.0
Sens Scale:,Valorant
Horiz Sens:,0.6
Vert Sens:,0.6
FOV:,103.0
Hide Gun:,false
Crosshair:,plus.png
Crosshair Scale:,1.0
Crosshair Color:,FFFF00
