Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated
1,06:17:39.621,Regenerating Pokeball,Poke-Drill,0.048s,6,6,1,1.2,1.2,1,false
2,06:17:40.585,Regenerating Pokeball,Poke-Drill,0.055s,7,7,1,1.4,1.4,1,false
3,06:17:41.517,Regenerating Pokeball,Poke-Drill,0.048s,6,6,1,1.2,1.2,1,false
4,06:17:43.294,Regenerating Pokeball,Poke-Drill,0.902s,18,18,1,3.6,3.6,1,false
5,06:17:44.245,Regenerating Pokeball,Poke-Drill,0.048s,6,6,1,1.2,1.2,1,false
6,06:17:45.064,Regenerating Pokeball,Poke-Drill,0.097s,11,11,1,2.2,2.2,1,false
7,06:17:46.239,Regenerating Pokeball,Poke-Drill,0.083s,10,10,1,2,2,1,false
8,06:17:47.170,Regenerating Pokeball,Poke-Drill,0.076s,9,9,1,1.8,1.8,1,false
9,06:17:48.127,Regenerating Pokeball,Poke-Drill,0.048s,6,6,1,1.2,1.2,1,false
10,06:17:48.905,Regenerating Pokeball,Poke-Drill,0.049s,6,6,1,1.2,1.2,1,false
11,06:17:49.732,Regenerating Pokeball,Poke-Drill,0.048s,6,6,1,1.2,1.2,1,false
12,06:17:50.545,Regenerating Pokeball,Poke-Drill,0.076s,9,9,1,1.8,1.8,1,false
13,06:17:51.447,Regenerating Pokeball,Poke-Drill,0.139s,15,6,0.4,1.2,3,0.4,false
14,06:17:52.468,Regenerating Pokeball,Poke-Drill,0.049s,6,6,1,1.2,1.2,1,false
15,06:17:53.287,Regenerating Pokeball,Poke-Drill,0.048s,6,6,1,1.2,1.2,1,false
16,06:17:54.176,Regenerating Pokeball,Poke-Drill,0.069s,8,8,1,1.6,1.6,1,false
17,06:17:55.003,Regenerating Pokeball,Poke-Drill,0.048s,6,6,1,1.2,1.2,1,false
18,06:17:55.899,Regenerating Pokeball,Poke-Drill,0.048s,6,6,1,1.2,1.2,1,false
19,06:17:57.225,Regenerating Pokeball,Poke-Drill,0.542s,33,11,0.333,2.2,6.6,0.333,false
20,06:17:58.190,Regenerating Pokeball,Poke-Drill,0.048s,6,6,1,1.2,1.2,1,false
21,06:17:58.989,Regenerating Pokeball,Poke-Drill,0.076s,9,9,1,1.8,1.8,1,false
22,06:17:59.560,Regenerating Pokeball,Poke-Drill,0.097s,11,11,1,2.2,2.2,1,false
23,06:18:00.316,Regenerating Pokeball,Poke-Drill,0.049s,6,6,1,1.2,1.2,1,false
24,06:18:01.114,Regenerating Pokeball,Poke-Drill,0.069s,8,8,1,1.6,1.6,1,false
25,06:18:01.954,Regenerating Pokeball,Poke-Drill,0.076s,9,9,1,1.8,1.8,1,false
26,06:18:02.774,Regenerating Pokeball,Poke-Drill,0.069s,8,8,1,1.6,1.6,1,false
27,06:18:03.524,Regenerating Pokeball,Poke-Drill,0.049s,6,6,1,1.2,1.2,1,false
28,06:18:04.420,Regenerating Pokeball,Poke-Drill,0.049s,6,6,1,1.2,1.2,1,false
29,06:18:06.350,Regenerating Pokeball,Poke-Drill,1.167s,55,13,0.236,2.6,11,0.236,false
30,06:18:07.379,Regenerating Pokeball,Poke-Drill,0.056s,7,7,1,1.4,1.4,1,false
31,06:18:08.004,Regenerating Pokeball,Poke-Drill,0.048s,6,6,1,1.2,1.2,1,false
32,06:18:08.719,Regenerating Pokeball,Poke-Drill,0.145s,16,6,0.375,1.2,3.2,0.375,false
33,06:18:09.622,Regenerating Pokeball,Poke-Drill,0.049s,6,6,1,1.2,1.2,1,false
34,06:18:10.511,Regenerating Pokeball,Poke-Drill,0.049s,6,6,1,1.2,1.2,1,false
35,06:18:11.351,Regenerating Pokeball,Poke-Drill,0.048s,6,6,1,1.2,1.2,1,false
36,06:18:12.205,Regenerating Pokeball,Poke-Drill,0.055s,7,7,1,1.4,1.4,1,false
37,06:18:12.921,Regenerating Pokeball,Poke-Drill,0.055s,7,7,1,1.4,1.4,1,false
38,06:18:13.684,Regenerating Pokeball,Poke-Drill,0.048s,6,6,1,1.2,1.2,1,false
39,06:18:14.608,Regenerating Pokeball,Poke-Drill,0.048s,6,6,1,1.2,1.2,1,false
40,06:18:15.344,Regenerating Pokeball,Poke-Drill,0.048s,6,6,1,1.2,1.2,1,false
41,06:18:16.031,Regenerating Pokeball,Poke-Drill,0.083s,10,10,1,2,2,1,false
42,06:18:16.976,Regenerating Pokeball,Poke-Drill,0.055s,7,7,1,1.4,1.4,1,false
43,06:18:17.685,Regenerating Pokeball,Poke-Drill,0.056s,7,7,1,1.4,1.4,1,false
44,06:18:18.282,Regenerating Pokeball,Poke-Drill,0.049s,6,6,1,1.2,1.2,1,false
