Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated
1,15:34:21.750,Pigeon,pistol,1.833s,4,1,0.25,50,500,0.1,false
2,15:34:23.173,Pigeon,pistol,0s,1,1,1,50,125,0.4,false
3,15:34:23.521,Pigeon,pistol,0s,1,1,1,50,125,0.4,false
4,15:34:24.639,Pigeon,pistol,0s,1,1,1,50,125,0.4,false
5,15:34:26.063,Pigeon,pistol,1.069s,2,1,0.5,50,250,0.2,false
6,15:34:27.445,Pigeon,pistol,0s,1,1,1,50,125,0.4,false
7,15:34:28.687,Pigeon,pistol,0.777s,2,1,0.5,50,250,0.2,false
8,15:34:29.229,Pigeon,pistol,0s,1,1,1,50,125,0.4,false
9,15:34:30.348,Pigeon,pistol,0.438s,2,1,0.5,50,250,0.2,false
10,15:34:31.216,Pigeon,pistol,0s,1,1,1,50,125,0.4,false
11,15:34:31.847,Pigeon,pistol,0s,1,1,1,50,125,0.4,false
12,15:34:33.035,Pigeon,pistol,0s,1,1,1,50,125,0.4,false
13,15:34:34.487,Pigeon,pistol,0s,1,1,1,50,125,0.4,false
14,15:34:35.758,Pigeon,pistol,0.695s,2,1,0.5,50,250,0.2,false
15,15:34:36.744,Pigeon,pistol,0s,1,1,1,50,125,0.4,false
16,15:34:37.939,Pigeon,pistol,0s,1,1,1,50,125,0.4,false
17,15:34:38.647,Pigeon,pistol,0s,1,1,1,50,125,0.4,false
18,15:34:39.452,Pigeon,pistol,0s,1,1,1,50,125,0.4,false
19,15:34:40.126,Pigeon,pistol,0s,1,1,1,50,125,0.4,false
20,15:34:40.869,Pigeon,pistol,0s,1,1,1,50,125,0.4,false
21,15:34:42.841,Pigeon,pistol,1.346s,2,1,0.5,50,250,0.2,false
22,15:34:44.425,Pigeon,pistol,0.861s,2,1,0.5,50,250,0.2,false
23,15:34:46.341,Pigeon,pistol,1.014s,2,1,0.5,50,250,0.2,false
24,15:34:48.321,Pigeon,pistol,1.133s,2,1,0.5,50,250,0.2,false
25,15:34:49.022,Pigeon,pistol,0s,1,1,1,50,125,0.4,false
26,15:34:49.772,Pigeon,pistol,0s,1,1,1,50,125,0.4,false
27,15:34:50.966,Pigeon,pistol,0s,1,1,1,50,125,0.4,false
28,15:34:53.092,Pigeon,pistol,0.001s,1,1,1,50,125,0.4,false
29,15:34:54.064,Pigeon,pistol,0s,1,1,1,50,125,0.4,false
30,15:34:54.988,Pigeon,pistol,0s,1,1,1,50,125,0.4,false
31,15:34:57.217,Pigeon,pistol,1.508s,3,1,0.333,50,375,0.133,false
32,15:34:58.237,Pigeon,pistol,0s,1,1,1,50,125,0.4,false
33,15:34:58.891,Pigeon,pistol,0s,1,1,1,50,125,0.4,false
34,15:35:00.342,Pigeon,pistol,0s,1,1,1,50,125,0.4,false
35,15:35:00.968,Pigeon,pistol,0.001s,1,1,1,50,125,0.4,false
36,15:35:02.634,Pigeon,pistol,0.293s,2,1,0.5,50,250,0.2,false
37,15:35:05.168,Pigeon,pistol,1.93s,3,1,0.333,50,375,0.133,false
38,15:35:06.377,Pigeon,pistol,0s,1,1,1,50,125,0.4,false
39,15:35:07.412,Pigeon,pistol,0s,1,1,1,50,125,0.4,false
40,15:35:08.169,Pigeon,pistol,0.001s,1,1,1,50,125,0.4,false
41,15:35:08.801,Pigeon,pistol,0s,1,1,1,50,125,0.4,false
42,15:35:10.814,Pigeon,pistol,1.326s,2,1,0.5,50,250,0.2,false
43,15:35:12.127,Pigeon,pistol,0s,1,1,1,50,125,0.4,false
44,15:35:13.106,Pigeon,pistol,0s,1,1,1,50,125,0.4,false
45,15:35:14.481,Pigeon,pistol,0s,1,1,1,50,125,0.4,false
46,15:35:14.843,Pigeon,pistol,0s,1,1,1,50,125,0.4,false
47,15:35:16.406,Pigeon,pistol,0.729s,2,1,0.5,50,250,0.2,false
48,15:35:17.121,Pigeon,pistol,0s,1,1,1,50,125,0.4,false
49,15:35:17.544,Pigeon,pistol,0s,1,1,1,50,125,0.4,false
50,15:35:18.273,Pigeon,pistol,0s,1,1,1,50,125,0.4,false
51,15:35:18.995,Pigeon,pistol,0s,1,1,1,50,125,0.4,false
52,15:35:20.262,Pigeon,pistol,0s,1,1,1,50,125,0.4,false
53,15:35:21.463,Pigeon,pistol,0s,1,1,1,50,125,0.4,false
54,15:35:22.630,Pigeon,pistol,0s,1,1,1,50,125,0.4,false
55,15:35:23.907,Pigeon,pistol,0s,1,1,1,50,125,0.4,false
56,15:35:25.943,Pigeon,pistol,1.028s,2,1,0.5,50,250,0.2,false
57,15:35:27.019,Pigeon,pistol,0s,1,1,1,50,125,0.4,false
58,15:35:28.172,Pigeon,pistol,0.757s,2,1,0.5,50,250,0.2,false
59,15:35:28.894,Pigeon,pistol,0s,1,1,1,50,125,0.4,false

Weapon,Shots,Hits,Damage Done,Damage Possible,,Sens Scale,Horiz Sens,Vert Sens,FOV,Hide Gun,Crosshair,Crosshair Scale,Crosshair Color,ADS Sens,ADS Zoom Scale
pistol,79,59,2950.0,9875.0,

Kills:,59
Deaths:,0
Fight Time:,16.74
Avg TTK:,1.196
Damage Done:,2950.0
Damage Taken:,0.0
Midairs:,0
Midaired:,0
Directs:,0
Directed:,0
Distance Traveled:,0.0
Score:,44.063293
Scenario:,Bounce 180
Hash:,28c00569c77cdbb9a321ffb8a8363220
Game Version:,2.0.2.0

Input Lag:,0
Max FPS (config):,144.0
Sens Scale:,Valorant
Horiz Sens:,0.6
Vert Sens:,0.6
FOV:,103.0
Hide Gun:,false
Crosshair:,plus.png
Crosshair Scale:,1.0
Crosshair Color:,FFFF00
