Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated
1,15:51:07.531,Pigeon,pistol,0s,1,1,1,50,125,0.4,false
2,15:51:09.088,Pigeon,pistol,1.022s,2,1,0.5,50,250,0.2,false
3,15:51:10.455,Pigeon,pistol,0.354s,2,1,0.5,50,250,0.2,false
4,15:51:13.657,Pigeon,pistol,1.722s,3,1,0.333,50,375,0.133,false
5,15:51:14.837,Pigeon,pistol,0s,1,1,1,50,125,0.4,false
6,15:51:16.212,Pigeon,pistol,0s,1,1,1,50,125,0.4,false
7,15:51:17.560,Pigeon,pistol,0s,1,1,1,50,125,0.4,false
8,15:51:19.026,Pigeon,pistol,1.015s,2,1,0.5,50,250,0.2,false
9,15:51:20.219,Pigeon,pistol,0s,1,1,1,50,125,0.4,false
10,15:51:21.685,Pigeon,pistol,0s,1,1,1,50,125,0.4,false
11,15:51:23.059,Pigeon,pistol,0.874s,2,1,0.5,50,250,0.2,false
12,15:51:23.540,Pigeon,pistol,0s,1,1,1,50,125,0.4,false
13,15:51:24.345,Pigeon,pistol,0s,1,1,1,50,125,0.4,false
14,15:51:25.935,Pigeon,pistol,0.326s,2,1,0.5,50,250,0.2,false
15,15:51:27.296,Pigeon,pistol,0s,1,1,1,50,125,0.4,false
16,15:51:29.908,Pigeon,pistol,2.181s,3,1,0.333,50,375,0.133,false
17,15:51:31.449,Pigeon,pistol,0s,1,1,1,50,125,0.4,false
18,15:51:32.804,Pigeon,pistol,0s,1,1,1,50,125,0.4,false
19,15:51:33.963,Pigeon,pistol,0s,1,1,1,50,125,0.4,false
20,15:51:35.317,Pigeon,pistol,0s,1,1,1,50,125,0.4,false
21,15:51:36.651,Pigeon,pistol,0s,1,1,1,50,125,0.4,false
22,15:51:37.353,Pigeon,pistol,0.001s,1,1,1,50,125,0.4,false
23,15:51:37.866,Pigeon,pistol,0s,1,1,1,50,125,0.4,false
24,15:51:39.762,Pigeon,pistol,0.75s,2,1,0.5,50,250,0.2,false
25,15:51:40.401,Pigeon,pistol,0.001s,1,1,1,50,125,0.4,false
26,15:51:46.318,Pigeon,pistol,4.986s,6,1,0.167,50,750,0.067,false
27,15:51:47.554,Pigeon,pistol,0.001s,1,1,1,50,125,0.4,false
28,15:51:48.881,Pigeon,pistol,0.001s,1,1,1,50,125,0.4,false
29,15:51:50.276,Pigeon,pistol,0.271s,2,1,0.5,50,250,0.2,false
30,15:51:51.595,Pigeon,pistol,0s,1,1,1,50,125,0.4,false
31,15:51:52.777,Pigeon,pistol,0s,1,1,1,50,125,0.4,false
32,15:51:54.742,Pigeon,pistol,1.195s,2,1,0.5,50,250,0.2,false
33,15:51:55.985,Pigeon,pistol,0s,1,1,1,50,125,0.4,false
34,15:51:56.970,Pigeon,pistol,0s,1,1,1,50,125,0.4,false
35,15:51:58.068,Pigeon,pistol,0s,1,1,1,50,125,0.4,false
36,15:51:59.061,Pigeon,pistol,0s,1,1,1,50,125,0.4,false
37,15:52:01.972,Pigeon,pistol,2.404s,5,1,0.2,50,625,0.08,false
38,15:52:03.041,Pigeon,pistol,0s,1,1,1,50,125,0.4,false
39,15:52:04.443,Pigeon,pistol,0s,1,1,1,50,125,0.4,false
40,15:52:05.679,Pigeon,pistol,0s,1,1,1,50,125,0.4,false
41,15:52:07.217,Pigeon,pistol,0s,1,1,1,50,125,0.4,false
42,15:52:08.883,Pigeon,pistol,0.805s,2,1,0.5,50,250,0.2,false
43,15:52:09.522,Pigeon,pistol,0s,1,1,1,50,125,0.4,false
44,15:52:10.167,Pigeon,pistol,0s,1,1,1,50,125,0.4,false
45,15:52:10.786,Pigeon,pistol,0s,1,1,1,50,125,0.4,false
46,15:52:11.939,Pigeon,pistol,0s,1,1,1,50,125,0.4,false
47,15:52:12.724,Pigeon,pistol,0s,1,1,1,50,125,0.4,false
48,15:52:14.793,Pigeon,pistol,1.576s,3,1,0.333,50,375,0.133,false
49,15:52:15.501,Pigeon,pistol,0s,1,1,1,50,125,0.4,false

Weapon,Shots,Hits,Damage Done,Damage Possible,,Sens Scale,Horiz Sens,Vert Sens,FOV,Hide Gun,Crosshair,Crosshair Scale,Crosshair Color,ADS Sens,ADS Zoom Scale
pistol,74,49,2450.0,9250.0,

Kills:,49
Deaths:,0
Fight Time:,19.485001
Avg TTK:,1.441
Damage Done:,2450.0
Damage Taken:,0.0
Midairs:,0
Midaired:,0
Directs:,0
Directed:,0
Distance Traveled:,0.0
Score:,32.445946
Scenario:,Bounce 180
Hash:,28c00569c77cdbb9a321ffb8a8363220
Game Version:,2.0.2.0

Input Lag:,0
Max FPS (config):,144.0
Sens Scale:,Valorant
Horiz Sens:,0.6
Vert Sens:,0.6
FOV:,103.0
Hide Gun:,false
Crosshair:,plus.png
Crosshair Scale:,1.0
Crosshair Color:,FFFF00
