Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated
1,06:36:47.879,target,BB Gun,0.75s,2,1,0.5,1,2,0.5,false
2,06:36:48.692,target,BB Gun,0s,1,1,1,1,1,1,false
3,06:36:49.435,target,BB Gun,0s,1,1,1,1,1,1,false
4,06:36:50.115,target,BB Gun,0s,1,1,1,1,1,1,false
5,06:36:50.752,target,BB Gun,0.001s,1,1,1,1,1,1,false
6,06:36:51.168,target,BB Gun,0s,1,1,1,1,1,1,false
7,06:36:51.696,target,BB Gun,0s,1,1,1,1,1,1,false
8,06:36:53.245,target,BB Gun,1.062s,3,1,0.333,1,3,0.333,false
9,06:36:53.926,target,BB Gun,0s,1,1,1,1,1,1,false
10,06:36:54.592,target,BB Gun,0s,1,1,1,1,1,1,false
11,06:36:55.147,target,BB Gun,0s,1,1,1,1,1,1,false
12,06:36:55.710,target,BB Gun,0s,1,1,1,1,1,1,false
13,06:36:56.252,target,BB Gun,0s,1,1,1,1,1,1,false
14,06:36:56.822,target,BB Gun,0s,1,1,1,1,1,1,false
15,06:36:58.079,target,BB Gun,0.542s,2,1,0.5,1,2,0.5,false
16,06:36:58.453,target,BB Gun,0s,1,1,1,1,1,1,false
17,06:36:59.023,target,BB Gun,0s,1,1,1,1,1,1,false
18,06:36:59.495,target,BB Gun,0s,1,1,1,1,1,1,false
19,06:36:59.953,target,BB Gun,0s,1,1,1,1,1,1,false
20,06:37:00.474,target,BB Gun,0s,1,1,1,1,1,1,false
21,06:37:01.016,target,BB Gun,0s,1,1,1,1,1,1,false
22,06:37:01.489,target,BB Gun,0s,1,1,1,1,1,1,false
23,06:37:02.065,target,BB Gun,0s,1,1,1,1,1,1,false
24,06:37:02.905,target,BB Gun,0.285s,2,1,0.5,1,2,0.5,false
25,06:37:03.551,target,BB Gun,0s,1,1,1,1,1,1,false
26,06:37:04.204,target,BB Gun,0.001s,1,1,1,1,1,1,false
27,06:37:04.961,target,BB Gun,0.32s,2,1,0.5,1,2,0.5,false
28,06:37:06.544,target,BB Gun,0.854s,2,1,0.5,1,2,0.5,false
29,06:37:07.252,target,BB Gun,0s,1,1,1,1,1,1,false
30,06:37:07.892,target,BB Gun,0s,1,1,1,1,1,1,false
31,06:37:09.086,target,BB Gun,0.729s,2,1,0.5,1,2,0.5,false
32,06:37:09.746,target,BB Gun,0s,1,1,1,1,1,1,false
33,06:37:10.565,target,BB Gun,0s,1,1,1,1,1,1,false
34,06:37:11.322,target,BB Gun,0.001s,1,1,1,1,1,1,false
35,06:37:11.856,target,BB Gun,0s,1,1,1,1,1,1,false
36,06:37:12.475,target,BB Gun,0.001s,1,1,1,1,1,1,false
37,06:37:13.030,target,BB Gun,0s,1,1,1,1,1,1,false
38,06:37:13.530,target,BB Gun,0s,1,1,1,1,1,1,false
39,06:37:14.190,target,BB Gun,0s,1,1,1,1,1,1,false
40,06:37:15.294,target,BB Gun,0.66s,2,1,0.5,1,2,0.5,false
41,06:37:15.934,target,BB Gun,0s,1,1,1,1,1,1,false
42,06:37:16.593,target,BB Gun,0s,1,1,1,1,1,1,false
43,06:37:17.288,target,BB Gun,0s,1,1,1,1,1,1,false
44,06:37:18.017,target,BB Gun,0s,1,1,1,1,1,1,false
45,06:37:18.600,target,BB Gun,0s,1,1,1,1,1,1,false
46,06:37:19.739,target,BB Gun,0.618s,2,1,0.5,1,2,0.5,false
47,06:37:20.260,target,BB Gun,0s,1,1,1,1,1,1,false
48,06:37:20.878,target,BB Gun,0s,1,1,1,1,1,1,false
49,06:37:22.274,target,BB Gun,0.702s,2,1,0.5,1,2,0.5,false
50,06:37:22.941,target,BB Gun,0s,1,1,1,1,1,1,false
51,06:37:23.636,target,BB Gun,0s,1,1,1,1,1,1,false
52,06:37:24.253,target,BB Gun,0s,1,1,1,1,1,1,false
53,06:37:24.642,target,BB Gun,0s,1,1,1,1,1,1,false
54,06:37:25.323,target,BB Gun,0.001s,1,1,1,1,1,1,false
55,06:37:26.754,target,BB Gun,0.876s,2,1,0.5,1,2,0.5,false
56,06:37:27.365,target,BB Gun,0s,1,1,1,1,1,1,false
57,06:37:27.844,target,BB Gun,0s,1,1,1,1,1,1,false
58,06:37:28.344,target,BB Gun,0s,1,1,1,1,1,1,false
59,06:37:28.997,target,BB Gun,0s,1,1,1,1,1,1,false
60,06:37:29.781,target,BB Gun,0s,1,1,1,1,1,1,false
61,06:37:30.351,target,BB Gun,0.001s,1,1,1,1,1,1,false
62,06:37:30.824,target,BB Gun,0s,1,1,1,1,1,1,false
63,06:37:31.351,target,BB Gun,0s,1,1,1,1,1,1,false
64,06:37:32.108,target,BB Gun,0s,1,1,1,1,1,1,false
65,06:37:32.768,target,BB Gun,0.001s,1,1,1,1,1,1,false
66,06:37:33.760,target,BB Gun,0s,1,1,1,1,1,1,false
67,06:37:34.448,target,BB Gun,0s,1,1,1,1,1,1,false
68,06:37:35.017,target,BB Gun,0s,1,1,1,1,1,1,false
69,06:37:35.490,target,BB Gun,0s,1,1,1,1,1,1,false
70,06:37:36.192,target,BB Gun,0s,1,1,1,1,1,1,false
71,06:37:36.657,target,BB Gun,0s,1,1,1,1,1,1,false
72,06:37:37.198,target,BB Gun,0s,1,1,1,1,1,1,false
73,06:37:37.838,target,BB Gun,0s,1,1,1,1,1,1,false
74,06:37:38.434,target,BB Gun,0s,1,1,1,1,1,1,false
75,06:37:38.851,target,BB Gun,0s,1,1,1,1,1,1,false
76,06:37:39.309,target,BB Gun,0s,1,1,1,1,1,1,false
77,06:37:39.712,target,BB Gun,0s,1,1,1,1,1,1,false
78,06:37:41.039,target,BB Gun,0.75s,2,1,0.5,1,2,0.5,false
79,06:37:41.817,target,BB Gun,0s,1,1,1,1,1,1,false
80,06:37:42.296,target,BB Gun,0s,1,1,1,1,1,1,false
81,06:37:42.990,target,BB Gun,0s,1,1,1,1,1,1,false
82,06:37:44.379,target,BB Gun,0.701s,2,1,0.5,1,2,0.5,false
83,06:37:45.060,target,BB Gun,0s,1,1,1,1,1,1,false
84,06:37:45.789,target,BB Gun,0s,1,1,1,1,1,1,false

Weapon,Shots,Hits,Damage Done,Damage Possible,,Sens Scale,Horiz Sens,Vert Sens,FOV,Hide Gun,Crosshair,Crosshair Scale,Crosshair Color,ADS Sens,ADS Zoom Scale
BB Gun,99,84,84.0,99.0,

Kills:,84
Deaths:,0
Fight Time:,8.856
Avg TTK:,0.714
Damage Done:,84.0
Damage Taken:,0.0
Midairs:,0
Midaired:,0
Directs:,0
Directed:,0
Distance Traveled:,0.0
Score:,712.727295
Scenario:,1wall 6targets small
Hash:,7378a811f430b6072d052a75896afb98
Game Version:,2.0.2.0

Input Lag:,0
Max FPS (config):,144.0
Sens Scale:,Valorant
Horiz Sens:,0.6
Vert Sens:,0.6
FOV:,103.0
Hide Gun:,false
Crosshair:,plus.png
Crosshair Scale:,1.0
Crosshair Color:,FFFF00
