Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated
1,06:35:31.461,target,BB Gun,0s,1,1,1,1,1,1,false
2,06:35:32.065,target,BB Gun,0s,1,1,1,1,1,1,false
3,06:35:32.712,target,BB Gun,0s,1,1,1,1,1,1,false
4,06:35:33.136,target,BB Gun,0s,1,1,1,1,1,1,false
5,06:35:33.698,target,BB Gun,0s,1,1,1,1,1,1,false
6,06:35:34.239,target,BB Gun,0s,1,1,1,1,1,1,false
7,06:35:34.809,target,BB Gun,0s,1,1,1,1,1,1,false
8,06:35:35.510,target,BB Gun,0s,1,1,1,1,1,1,false
9,06:35:36.045,target,BB Gun,0s,1,1,1,1,1,1,false
10,06:35:36.685,target,BB Gun,0s,1,1,1,1,1,1,false
11,06:35:38.213,target,BB Gun,0.612s,2,1,0.5,1,2,0.5,false
12,06:35:38.803,target,BB Gun,0s,1,1,1,1,1,1,false
13,06:35:39.422,target,BB Gun,0s,1,1,1,1,1,1,false
14,06:35:39.888,target,BB Gun,0s,1,1,1,1,1,1,false
15,06:35:40.436,target,BB Gun,0s,1,1,1,1,1,1,false
16,06:35:41.058,target,BB Gun,0s,1,1,1,1,1,1,false
17,06:35:42.156,target,BB Gun,0.591s,2,1,0.5,1,2,0.5,false
18,06:35:42.732,target,BB Gun,0s,1,1,1,1,1,1,false
19,06:35:43.315,target,BB Gun,0s,1,1,1,1,1,1,false
20,06:35:44.114,target,BB Gun,0s,1,1,1,1,1,1,false
21,06:35:45.169,target,BB Gun,0.632s,2,1,0.5,1,2,0.5,false
22,06:35:45.767,target,BB Gun,0.001s,1,1,1,1,1,1,false
23,06:35:47.176,target,BB Gun,0.715s,2,1,0.5,1,2,0.5,false
24,06:35:47.662,target,BB Gun,0s,1,1,1,1,1,1,false
25,06:35:48.517,target,BB Gun,0.279s,2,1,0.5,1,2,0.5,false
26,06:35:49.024,target,BB Gun,0s,1,1,1,1,1,1,false
27,06:35:49.593,target,BB Gun,0s,1,1,1,1,1,1,false
28,06:35:50.392,target,BB Gun,0s,1,1,1,1,1,1,false
