Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated
1,15:31:36.397,target,BB Gun,0s,1,1,1,1,1,1,false
2,15:31:37.667,target,BB Gun,0.833s,3,1,0.333,1,3,0.333,false
3,15:31:38.376,target,BB Gun,0.001s,1,1,1,1,1,1,false
4,15:31:38.938,target,BB Gun,0s,1,1,1,1,1,1,false
5,15:31:39.639,target,BB Gun,0s,1,1,1,1,1,1,false
6,15:31:40.120,target,BB Gun,0s,1,1,1,1,1,1,false
7,15:31:40.758,target,BB Gun,0s,1,1,1,1,1,1,false
8,15:31:41.196,target,BB Gun,0s,1,1,1,1,1,1,false
9,15:31:41.862,target,BB Gun,0s,1,1,1,1,1,1,false
10,15:31:42.488,target,BB Gun,0s,1,1,1,1,1,1,false
11,15:31:43.168,target,BB Gun,0s,1,1,1,1,1,1,false
12,15:31:43.689,target,BB Gun,0s,1,1,1,1,1,1,false
13,15:31:44.683,target,BB Gun,0.536s,2,1,0.5,1,2,0.5,false
14,15:31:45.002,target,BB Gun,0s,1,1,1,1,1,1,false
15,15:31:45.502,target,BB Gun,0s,1,1,1,1,1,1,false
16,15:31:46.162,target,BB Gun,0s,1,1,1,1,1,1,false
17,15:31:46.710,target,BB Gun,0s,1,1,1,1,1,1,false
18,15:31:47.204,target,BB Gun,0.001s,1,1,1,1,1,1,false
19,15:31:47.863,target,BB Gun,0s,1,1,1,1,1,1,false
20,15:31:48.654,target,BB Gun,0s,1,1,1,1,1,1,false
21,15:31:49.065,target,BB Gun,0s,1,1,1,1,1,1,false
22,15:31:49.558,target,BB Gun,0s,1,1,1,1,1,1,false
23,15:31:50.148,target,BB Gun,0s,1,1,1,1,1,1,false
24,15:31:50.752,target,BB Gun,0s,1,1,1,1,1,1,false
25,15:31:51.210,target,BB Gun,0s,1,1,1,1,1,1,false
26,15:31:52.120,target,BB Gun,0.465s,2,1,0.5,1,2,0.5,false
27,15:31:52.530,target,BB Gun,0s,1,1,1,1,1,1,false
28,15:31:53.170,target,BB Gun,0s,1,1,1,1,1,1,false
29,15:31:53.767,target,BB Gun,0.001s,1,1,1,1,1,1,false
30,15:31:54.197,target,BB Gun,0s,1,1,1,1,1,1,false
31,15:31:54.933,target,BB Gun,0s,1,1,1,1,1,1,false
32,15:31:55.593,target,BB Gun,0s,1,1,1,1,1,1,false
33,15:31:57.447,target,BB Gun,1.34s,3,1,0.333,1,3,0.333,false
34,15:31:58.156,target,BB Gun,0s,1,1,1,1,1,1,false
35,15:31:58.718,target,BB Gun,0s,1,1,1,1,1,1,false
36,15:31:59.142,target,BB Gun,0s,1,1,1,1,1,1,false
37,15:31:59.648,target,BB Gun,0s,1,1,1,1,1,1,false
38,15:32:00.684,target,BB Gun,0.736s,2,1,0.5,1,2,0.5,false
39,15:32:01.517,target,BB Gun,0s,1,1,1,1,1,1,false
40,15:32:02.204,target,BB Gun,0s,1,1,1,1,1,1,false
41,15:32:02.816,target,BB Gun,0s,1,1,1,1,1,1,false
42,15:32:03.302,target,BB Gun,0s,1,1,1,1,1,1,false
43,15:32:04.107,target,BB Gun,0s,1,1,1,1,1,1,false
44,15:32:04.622,target,BB Gun,0.001s,1,1,1,1,1,1,false
45,15:32:04.969,target,BB Gun,0s,1,1,1,1,1,1,false
46,15:32:05.399,target,BB Gun,0s,1,1,1,1,1,1,false
47,15:32:06.107,target,BB Gun,0s,1,1,1,1,1,1,false
48,15:32:06.753,target,BB Gun,0s,1,1,1,1,1,1,false
49,15:32:07.274,target,BB Gun,0s,1,1,1,1,1,1,false
50,15:32:07.781,target,BB Gun,0s,1,1,1,1,1,1,false
51,15:32:08.503,target,BB Gun,0s,1,1,1,1,1,1,false
52,15:32:09.101,target,BB Gun,0s,1,1,1,1,1,1,false
53,15:32:09.553,target,BB Gun,0.001s,1,1,1,1,1,1,false
54,15:32:10.073,target,BB Gun,0s,1,1,1,1,1,1,false
55,15:32:10.594,target,BB Gun,0s,1,1,1,1,1,1,false
56,15:32:11.101,target,BB Gun,0s,1,1,1,1,1,1,false
57,15:32:11.448,target,BB Gun,0s,1,1,1,1,1,1,false
58,15:32:11.975,target,BB Gun,0s,1,1,1,1,1,1,false
59,15:32:12.579,target,BB Gun,0s,1,1,1,1,1,1,false
60,15:32:13.872,target,BB Gun,0.604s,2,1,0.5,1,2,0.5,false
61,15:32:14.379,target,BB Gun,0s,1,1,1,1,1,1,false
62,15:32:15.038,target,BB Gun,0s,1,1,1,1,1,1,false
63,15:32:15.531,target,BB Gun,0s,1,1,1,1,1,1,false
64,15:32:16.316,target,BB Gun,0s,1,1,1,1,1,1,false
65,15:32:17.108,target,BB Gun,0s,1,1,1,1,1,1,false
66,15:32:17.692,target,BB Gun,0s,1,1,1,1,1,1,false
67,15:32:18.317,target,BB Gun,0s,1,1,1,1,1,1,false
68,15:32:19.046,target,BB Gun,0s,1,1,1,1,1,1,false
69,15:32:19.990,target,BB Gun,0.451s,2,1,0.5,1,2,0.5,false
70,15:32:20.511,target,BB Gun,0s,1,1,1,1,1,1,false
71,15:32:20.907,target,BB Gun,0s,1,1,1,1,1,1,false
72,15:32:22.060,target,BB Gun,0.57s,2,1,0.5,1,2,0.5,false
73,15:32:22.567,target,BB Gun,0s,1,1,1,1,1,1,false
74,15:32:23.747,target,BB Gun,0.542s,2,1,0.5,1,2,0.5,false
75,15:32:24.393,target,BB Gun,0s,1,1,1,1,1,1,false
76,15:32:25.151,target,BB Gun,0s,1,1,1,1,1,1,false
77,15:32:25.873,target,BB Gun,0s,1,1,1,1,1,1,false
78,15:32:26.706,target,BB Gun,0s,1,1,1,1,1,1,false
79,15:32:27.303,target,BB Gun,0s,1,1,1,1,1,1,false
80,15:32:27.879,target,BB Gun,0s,1,1,1,1,1,1,false
81,15:32:28.484,target,BB Gun,0.001s,1,1,1,1,1,1,false
82,15:32:29.227,target,BB Gun,0s,1,1,1,1,1,1,false
83,15:32:29.762,target,BB Gun,0.001s,1,1,1,1,1,1,false
84,15:32:30.539,target,BB Gun,0s,1,1,1,1,1,1,false
85,15:32:31.324,target,BB Gun,0s,1,1,1,1,1,1,false
86,15:32:32.088,target,BB Gun,0.409s,2,1,0.5,1,2,0.5,false
87,15:32:32.845,target,BB Gun,0s,1,1,1,1,1,1,false
88,15:32:33.428,target,BB Gun,0s,1,1,1,1,1,1,false
89,15:32:33.886,target,BB Gun,0s,1,1,1,1,1,1,false
90,15:32:34.372,target,BB Gun,0s,1,1,1,1,1,1,false
91,15:32:34.740,target,BB Gun,0s,1,1,1,1,1,1,false
92,15:32:35.171,target,BB Gun,0s,1,1,1,1,1,1,false
93,15:32:35.623,target,BB Gun,0s,1,1,1,1,1,1,false

Weapon,Shots,Hits,Damage Done,Damage Possible,,Sens Scale,Horiz Sens,Vert Sens,FOV,Hide Gun,Crosshair,Crosshair Scale,Crosshair Color,ADS Sens,ADS Zoom Scale
BB Gun,105,93,93.0,105.0,

Kills:,93
Deaths:,0
Fight Time:,6.493
Avg TTK:,0.645
Damage Done:,93.0
Damage Taken:,0.0
Midairs:,0
Midaired:,0
Directs:,0
Directed:,0
Distance Traveled:,0.0
Score:,823.714294
Scenario:,1wall 6targets small
Hash:,7378a811f430b6072d052a75896afb98
Game Version:,2.0.2.0

Input Lag:,0
Max FPS (config):,144.0
Sens Scale:,Valorant
Horiz Sens:,0.6
Vert Sens:,0.6
FOV:,103.0
Hide Gun:,false
Crosshair:,plus.png
Crosshair Scale:,1.0
Crosshair Color:,FFFF00
