Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated
1,15:08:08.582,target,BB Gun,0s,1,1,1,1,1,1,false
2,15:08:09.125,target,BB Gun,0.001s,1,1,1,1,1,1,false
3,15:08:10.576,target,BB Gun,0.805s,2,1,0.5,1,2,0.5,false
4,15:08:11.160,target,BB Gun,0s,1,1,1,1,1,1,false
5,15:08:11.841,target,BB Gun,0s,1,1,1,1,1,1,false
6,15:08:13.486,target,BB Gun,0s,1,1,1,1,1,1,false
7,15:08:14.154,target,BB Gun,0s,1,1,1,1,1,1,false
8,15:08:14.684,target,BB Gun,0s,1,1,1,1,1,1,false
9,15:08:15.351,target,BB Gun,0.001s,1,1,1,1,1,1,false
10,15:08:15.823,target,BB Gun,0s,1,1,1,1,1,1,false
11,15:08:16.351,target,BB Gun,0s,1,1,1,1,1,1,false
12,15:08:17.005,target,BB Gun,0s,1,1,1,1,1,1,false
13,15:08:17.651,target,BB Gun,0.001s,1,1,1,1,1,1,false
14,15:08:18.657,target,BB Gun,0.493s,2,1,0.5,1,2,0.5,false
15,15:08:19.247,target,BB Gun,0s,1,1,1,1,1,1,false
16,15:08:19.948,target,BB Gun,0s,1,1,1,1,1,1,false
17,15:08:20.435,target,BB Gun,0s,1,1,1,1,1,1,false
18,15:08:20.990,target,BB Gun,0s,1,1,1,1,1,1,false
19,15:08:21.581,target,BB Gun,0.001s,1,1,1,1,1,1,false
20,15:08:22.289,target,BB Gun,0.001s,1,1,1,1,1,1,false
21,15:08:22.643,target,BB Gun,0s,1,1,1,1,1,1,false
22,15:08:23.317,target,BB Gun,0s,1,1,1,1,1,1,false
23,15:08:23.907,target,BB Gun,0s,1,1,1,1,1,1,false
24,15:08:24.518,target,BB Gun,0s,1,1,1,1,1,1,false
25,15:08:25.400,target,BB Gun,0s,1,1,1,1,1,1,false
26,15:08:25.935,target,BB Gun,0s,1,1,1,1,1,1,false
27,15:08:26.498,target,BB Gun,0.001s,1,1,1,1,1,1,false
28,15:08:27.028,target,BB Gun,0s,1,1,1,1,1,1,false
29,15:08:27.604,target,BB Gun,0s,1,1,1,1,1,1,false
30,15:08:28.229,target,BB Gun,0s,1,1,1,1,1,1,false
31,15:08:28.785,target,BB Gun,0s,1,1,1,1,1,1,false
32,15:08:29.501,target,BB Gun,0s,1,1,1,1,1,1,false
33,15:08:30.126,target,BB Gun,0.001s,1,1,1,1,1,1,false
34,15:08:30.924,target,BB Gun,0s,1,1,1,1,1,1,false
35,15:08:31.410,target,BB Gun,0s,1,1,1,1,1,1,false
36,15:08:32.175,target,BB Gun,0s,1,1,1,1,1,1,false
37,15:08:32.765,target,BB Gun,0s,1,1,1,1,1,1,false
38,15:08:33.550,target,BB Gun,0s,1,1,1,1,1,1,false
39,15:08:34.286,target,BB Gun,0.001s,1,1,1,1,1,1,false
40,15:08:35.640,target,BB Gun,0.778s,2,1,0.5,1,2,0.5,false
41,15:08:36.224,target,BB Gun,0.001s,1,1,1,1,1,1,false
42,15:08:36.862,target,BB Gun,0s,1,1,1,1,1,1,false
43,15:08:37.685,target,BB Gun,0.001s,1,1,1,1,1,1,false
44,15:08:38.358,target,BB Gun,0s,1,1,1,1,1,1,false
45,15:08:39.053,target,BB Gun,0s,1,1,1,1,1,1,false
46,15:08:39.727,target,BB Gun,0s,1,1,1,1,1,1,false
47,15:08:40.205,target,BB Gun,0s,1,1,1,1,1,1,false
48,15:08:40.615,target,BB Gun,0s,1,1,1,1,1,1,false
49,15:08:41.185,target,BB Gun,0s,1,1,1,1,1,1,false
50,15:08:41.671,target,BB Gun,0s,1,1,1,1,1,1,false
51,15:08:43.025,target,BB Gun,0.826s,2,1,0.5,1,2,0.5,false
52,15:08:43.615,target,BB Gun,0s,1,1,1,1,1,1,false
53,15:08:44.102,target,BB Gun,0s,1,1,1,1,1,1,false
54,15:08:45.289,target,BB Gun,0.486s,2,1,0.5,1,2,0.5,false
55,15:08:45.768,target,BB Gun,0s,1,1,1,1,1,1,false
