Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated
1,15:55:37.877,Pigeon,pistol,0s,1,1,1,50,125,0.4,false
2,15:55:39.537,Pigeon,pistol,1.244s,2,1,0.5,50,250,0.2,false
3,15:55:42.134,Pigeon,pistol,1.514s,2,1,0.5,50,250,0.2,false
4,15:55:43.600,Pigeon,pistol,0s,1,1,1,50,125,0.4,false
5,15:55:46.246,Pigeon,pistol,1.202s,2,1,0.5,50,250,0.2,false
6,15:55:48.392,Pigeon,pistol,0.299s,2,1,0.5,50,250,0.2,false
7,15:55:50.988,Pigeon,pistol,1.791s,3,1,0.333,50,375,0.133,false
8,15:55:51.794,Pigeon,pistol,0s,1,1,1,50,125,0.4,false
9,15:55:52.572,Pigeon,pistol,0s,1,1,1,50,125,0.4,false
10,15:55:53.767,Pigeon,pistol,0s,1,1,1,50,125,0.4,false
11,15:55:54.926,Pigeon,pistol,0.271s,2,1,0.5,50,250,0.2,false
12,15:55:56.120,Pigeon,pistol,0s,1,1,1,50,125,0.4,false
13,15:55:57.385,Pigeon,pistol,0s,1,1,1,50,125,0.4,false
14,15:55:58.538,Pigeon,pistol,0s,1,1,1,50,125,0.4,false
15,15:55:59.719,Pigeon,pistol,0s,1,1,1,50,125,0.4,false
16,15:56:02.184,Pigeon,pistol,1.453s,4,1,0.25,50,500,0.1,false
17,15:56:03.323,Pigeon,pistol,0s,1,1,1,50,125,0.4,false
18,15:56:04.676,Pigeon,pistol,0s,1,1,1,50,125,0.4,false
19,15:56:05.392,Pigeon,pistol,0s,1,1,1,50,125,0.4,false
20,15:56:08.815,Pigeon,pistol,2.027s,2,1,0.5,50,250,0.2,false
21,15:56:10.684,Pigeon,pistol,0.529s,2,1,0.5,50,250,0.2,false
22,15:56:13.218,Pigeon,pistol,1.381s,3,1,0.333,50,375,0.133,false
23,15:56:14.573,Pigeon,pistol,0.896s,2,1,0.5,50,250,0.2,false
24,15:56:16.448,Pigeon,pistol,1.334s,2,1,0.5,50,250,0.2,false
25,15:56:17.357,Pigeon,pistol,0s,1,1,1,50,125,0.4,false
26,15:56:17.732,Pigeon,pistol,0s,1,1,1,50,125,0.4,false
27,15:56:18.851,Pigeon,pistol,0.001s,1,1,1,50,125,0.4,false
28,15:56:19.899,Pigeon,pistol,0s,1,1,1,50,125,0.4,false
29,15:56:21.400,Pigeon,pistol,0.862s,2,1,0.5,50,250,0.2,false
30,15:56:24.789,Pigeon,pistol,2.584s,4,1,0.25,50,500,0.1,false
31,15:56:25.685,Pigeon,pistol,0s,1,1,1,50,125,0.4,false
32,15:56:26.774,Pigeon,pistol,0s,1,1,1,50,125,0.4,false
33,15:56:28.267,Pigeon,pistol,0s,1,1,1,50,125,0.4,false
34,15:56:29.955,Pigeon,pistol,0.368s,2,1,0.5,50,250,0.2,false
35,15:56:31.136,Pigeon,pistol,0s,1,1,1,50,125,0.4,false
36,15:56:32.830,Pigeon,pistol,0.826s,2,1,0.5,50,250,0.2,false
37,15:56:34.699,Pigeon,pistol,1.209s,2,1,0.5,50,250,0.2,false
38,15:56:35.837,Pigeon,pistol,0s,1,1,1,50,125,0.4,false
39,15:56:38.230,Pigeon,pistol,1.245s,3,1,0.333,50,375,0.133,false
40,15:56:38.882,Pigeon,pistol,0s,1,1,1,50,125,0.4,false
41,15:56:40.173,Pigeon,pistol,0s,1,1,1,50,125,0.4,false
42,15:56:41.270,Pigeon,pistol,0s,1,1,1,50,125,0.4,false
43,15:56:41.979,Pigeon,pistol,0s,1,1,1,50,125,0.4,false
44,15:56:42.590,Pigeon,pistol,0s,1,1,1,50,125,0.4,false
45,15:56:43.375,Pigeon,pistol,0s,1,1,1,50,125,0.4,false
46,15:56:44.083,Pigeon,pistol,0s,1,1,1,50,125,0.4,false
47,15:56:44.777,Pigeon,pistol,0s,1,1,1,50,125,0.4,false
48,15:56:45.951,Pigeon,pistol,0s,1,1,1,50,125,0.4,false

Weapon,Shots,Hits,Damage Done,Damage Possible,,Sens Scale,Horiz Sens,Vert Sens,FOV,Hide Gun,Crosshair,Crosshair Scale,Crosshair Color,ADS Sens,ADS Zoom Scale
pistol,74,48,2400.0,9250.0,

Kills:,48
Deaths:,0
Fight Time:,21.035999
Avg TTK:,1.471
Damage Done:,2400.0
Damage Taken:,0.0
Midairs:,0
Midaired:,0
Directs:,0
Directed:,0
Distance Traveled:,0.0
Score:,31.135134
Scenario:,Bounce 180
Hash:,28c00569c77cdbb9a321ffb8a8363220
Game Version:,2.0.2.0

Input Lag:,0
Max FPS (config):,144.0
Sens Scale:,Valorant
Horiz Sens:,0.6
Vert Sens:,0.6
FOV:,103.0
Hide Gun:,false
Crosshair:,plus.png
Crosshair Scale:,1.0
Crosshair Color:,FFFF00
