Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated
1,15:37:03.520,Pigeon,pistol,0s,1,1,1,50,125,0.4,false
2,15:37:03.910,Pigeon,pistol,0s,1,1,1,50,125,0.4,false
3,15:37:04.942,Pigeon,pistol,0s,1,1,1,50,125,0.4,false
4,15:37:05.462,Pigeon,pistol,0.001s,1,1,1,50,125,0.4,false
5,15:37:06.255,Pigeon,pistol,0s,1,1,1,50,125,0.4,false
6,15:37:06.944,Pigeon,pistol,0s,1,1,1,50,125,0.4,false
7,15:37:08.256,Pigeon,pistol,0.565s,2,1,0.5,50,250,0.2,false
8,15:37:09.005,Pigeon,pistol,0s,1,1,1,50,125,0.4,false
9,15:37:09.609,Pigeon,pistol,0s,1,1,1,50,125,0.4,false
10,15:37:10.035,Pigeon,pistol,0s,1,1,1,50,125,0.4,false
11,15:37:11.056,Pigeon,pistol,0s,1,1,1,50,125,0.4,false
12,15:37:12.940,Pigeon,pistol,0.921s,2,1,0.5,50,250,0.2,false
13,15:37:14.015,Pigeon,pistol,0s,1,1,1,50,125,0.4,false
14,15:37:15.085,Pigeon,pistol,0.675s,2,1,0.5,50,250,0.2,false
15,15:37:16.637,Pigeon,pistol,1.094s,2,1,0.5,50,250,0.2,false
16,15:37:18.307,Pigeon,pistol,1.246s,2,1,0.5,50,250,0.2,false
17,15:37:19.111,Pigeon,pistol,0s,1,1,1,50,125,0.4,false
18,15:37:19.741,Pigeon,pistol,0s,1,1,1,50,125,0.4,false
19,15:37:20.838,Pigeon,pistol,0.725s,2,1,0.5,50,250,0.2,false
20,15:37:21.914,Pigeon,pistol,0s,1,1,1,50,125,0.4,false
21,15:37:22.173,Pigeon,pistol,0s,1,1,1,50,125,0.4,false
22,15:37:22.955,Pigeon,pistol,0s,1,1,1,50,125,0.4,false
23,15:37:24.116,Pigeon,pistol,0.6s,2,1,0.5,50,250,0.2,false
24,15:37:24.780,Pigeon,pistol,0s,1,1,1,50,125,0.4,false
25,15:37:25.577,Pigeon,pistol,0.301s,2,1,0.5,50,250,0.2,false
26,15:37:26.775,Pigeon,pistol,0.594s,2,1,0.5,50,250,0.2,false
27,15:37:27.333,Pigeon,pistol,0s,1,1,1,50,125,0.4,false
28,15:37:29.327,Pigeon,pistol,1.357s,3,1,0.333,50,375,0.133,false
29,15:37:30.356,Pigeon,pistol,0.001s,1,1,1,50,125,0.4,false
30,15:37:31.088,Pigeon,pistol,0s,1,1,1,50,125,0.4,false
31,15:37:32.795,Pigeon,pistol,1.081s,3,1,0.333,50,375,0.133,false
32,15:37:33.771,Pigeon,pistol,0.737s,2,1,0.5,50,250,0.2,false
33,15:37:36.816,Pigeon,pistol,2.548s,3,1,0.333,50,375,0.133,false
34,15:37:38.742,Pigeon,pistol,0.819s,2,1,0.5,50,250,0.2,false
35,15:37:39.954,Pigeon,pistol,0s,1,1,1,50,125,0.4,false
36,15:37:40.849,Pigeon,pistol,0s,1,1,1,50,125,0.4,false
37,15:37:42.915,Pigeon,pistol,1.149s,4,1,0.25,50,500,0.1,false
38,15:37:44.458,Pigeon,pistol,0.654s,2,1,0.5,50,250,0.2,false
39,15:37:46.694,Pigeon,pistol,0.683s,3,1,0.333,50,375,0.133,false
