Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated
1,06:40:44.978,target,BB Gun,0s,1,1,1,1,1,1,false
2,06:40:45.638,target,BB Gun,0s,1,1,1,1,1,1,false
3,06:40:46.104,target,BB Gun,0s,1,1,1,1,1,1,false
4,06:40:46.693,target,BB Gun,0s,1,1,1,1,1,1,false
5,06:40:47.833,target,BB Gun,0.695s,2,1,0.5,1,2,0.5,false
6,06:40:49.160,target,BB Gun,0.612s,2,1,0.5,1,2,0.5,false
7,06:40:49.742,target,BB Gun,0s,1,1,1,1,1,1,false
8,06:40:51.194,target,BB Gun,0.778s,2,1,0.5,1,2,0.5,false
9,06:40:51.555,target,BB Gun,0s,1,1,1,1,1,1,false
10,06:40:52.194,target,BB Gun,0s,1,1,1,1,1,1,false
11,06:40:52.645,target,BB Gun,0s,1,1,1,1,1,1,false
12,06:40:53.236,target,BB Gun,0s,1,1,1,1,1,1,false
13,06:40:53.944,target,BB Gun,0s,1,1,1,1,1,1,false
14,06:40:54.280,target,BB Gun,0s,1,1,1,1,1,1,false
15,06:40:54.877,target,BB Gun,0s,1,1,1,1,1,1,false
16,06:40:55.411,target,BB Gun,0s,1,1,1,1,1,1,false
17,06:40:55.912,target,BB Gun,0s,1,1,1,1,1,1,false
18,06:40:56.564,target,BB Gun,0s,1,1,1,1,1,1,false
19,06:40:57.668,target,BB Gun,0.382s,2,1,0.5,1,2,0.5,false
20,06:40:58.300,target,BB Gun,0s,1,1,1,1,1,1,false
21,06:40:58.703,target,BB Gun,0s,1,1,1,1,1,1,false
22,06:40:59.752,target,BB Gun,0.542s,2,1,0.5,1,2,0.5,false
23,06:41:00.300,target,BB Gun,0s,1,1,1,1,1,1,false
24,06:41:00.870,target,BB Gun,0s,1,1,1,1,1,1,false
25,06:41:01.419,target,BB Gun,0s,1,1,1,1,1,1,false
26,06:41:01.967,target,BB Gun,0s,1,1,1,1,1,1,false
27,06:41:02.592,target,BB Gun,0s,1,1,1,1,1,1,false
28,06:41:03.231,target,BB Gun,0s,1,1,1,1,1,1,false
29,06:41:03.912,target,BB Gun,0s,1,1,1,1,1,1,false
30,06:41:04.461,target,BB Gun,0.001s,1,1,1,1,1,1,false
31,06:41:04.960,target,BB Gun,0s,1,1,1,1,1,1,false
32,06:41:05.676,target,BB Gun,0s,1,1,1,1,1,1,false
33,06:41:06.190,target,BB Gun,0s,1,1,1,1,1,1,false
34,06:41:06.794,target,BB Gun,0s,1,1,1,1,1,1,false
35,06:41:08.606,target,BB Gun,1.173s,3,1,0.333,1,3,0.333,false
36,06:41:09.071,target,BB Gun,0s,1,1,1,1,1,1,false
37,06:41:09.641,target,BB Gun,0s,1,1,1,1,1,1,false
38,06:41:10.211,target,BB Gun,0s,1,1,1,1,1,1,false
39,06:41:10.905,target,BB Gun,0s,1,1,1,1,1,1,false
40,06:41:11.510,target,BB Gun,0s,1,1,1,1,1,1,false
41,06:41:12.830,target,BB Gun,0.688s,2,1,0.5,1,2,0.5,false
42,06:41:14.746,target,BB Gun,1.313s,3,1,0.333,1,3,0.333,false
43,06:41:15.225,target,BB Gun,0s,1,1,1,1,1,1,false
44,06:41:15.961,target,BB Gun,0.277s,2,1,0.5,1,2,0.5,false
45,06:41:16.565,target,BB Gun,0s,1,1,1,1,1,1,false
46,06:41:17.190,target,BB Gun,0s,1,1,1,1,1,1,false
47,06:41:17.655,target,BB Gun,0s,1,1,1,1,1,1,false
48,06:41:18.211,target,BB Gun,0s,1,1,1,1,1,1,false
49,06:41:18.766,target,BB Gun,0s,1,1,1,1,1,1,false
50,06:41:19.281,target,BB Gun,0s,1,1,1,1,1,1,false
51,06:41:20.225,target,BB Gun,0.375s,2,1,0.5,1,2,0.5,false
52,06:41:21.406,target,BB Gun,0.438s,2,1,0.5,1,2,0.5,false
53,06:41:22.322,target,BB Gun,0.52s,2,1,0.5,1,2,0.5,false
54,06:41:22.885,target,BB Gun,0.001s,1,1,1,1,1,1,false
55,06:41:23.732,target,BB Gun,0s,1,1,1,1,1,1,false
56,06:41:24.440,target,BB Gun,0s,1,1,1,1,1,1,false
57,06:41:25.086,target,BB Gun,0s,1,1,1,1,1,1,false
58,06:41:25.704,target,BB Gun,0s,1,1,1,1,1,1,false
59,06:41:26.475,target,BB Gun,0s,1,1,1,1,1,1,false
60,06:41:27.391,target,BB Gun,0.36s,2,1,0.5,1,2,0.5,false
61,06:41:27.989,target,BB Gun,0.001s,1,1,1,1,1,1,false
62,06:41:28.454,target,BB Gun,0s,1,1,1,1,1,1,false
63,06:41:29.357,target,BB Gun,0s,1,1,1,1,1,1,false
64,06:41:30.155,target,BB Gun,0s,1,1,1,1,1,1,false
65,06:41:30.677,target,BB Gun,0s,1,1,1,1,1,1,false
66,06:41:31.073,target,BB Gun,0s,1,1,1,1,1,1,false
67,06:41:31.587,target,BB Gun,0s,1,1,1,1,1,1,false
68,06:41:32.114,target,BB Gun,0s,1,1,1,1,1,1,false
69,06:41:32.517,target,BB Gun,0s,1,1,1,1,1,1,false
70,06:41:33.393,target,BB Gun,0.327s,2,1,0.5,1,2,0.5,false
71,06:41:33.913,target,BB Gun,0s,1,1,1,1,1,1,false
72,06:41:34.559,target,BB Gun,0s,1,1,1,1,1,1,false
73,06:41:35.573,target,BB Gun,0s,1,1,1,1,1,1,false
74,06:41:36.177,target,BB Gun,0s,1,1,1,1,1,1,false
75,06:41:36.719,target,BB Gun,0s,1,1,1,1,1,1,false
76,06:41:37.094,target,BB Gun,0s,1,1,1,1,1,1,false
77,06:41:37.656,target,BB Gun,0s,1,1,1,1,1,1,false
78,06:41:38.163,target,BB Gun,0s,1,1,1,1,1,1,false
79,06:41:38.732,target,BB Gun,0s,1,1,1,1,1,1,false
80,06:41:40.073,target,BB Gun,0.75s,2,1,0.5,1,2,0.5,false
81,06:41:40.705,target,BB Gun,0.001s,1,1,1,1,1,1,false
82,06:41:41.976,target,BB Gun,0.674s,2,1,0.5,1,2,0.5,false
83,06:41:42.539,target,BB Gun,0s,1,1,1,1,1,1,false

Weapon,Shots,Hits,Damage Done,Damage Possible,,Sens Scale,Horiz Sens,Vert Sens,FOV,Hide Gun,Crosshair,Crosshair Scale,Crosshair Color,ADS Sens,ADS Zoom Scale
BB Gun,103,83,83.0,103.0,

Kills:,83
Deaths:,0
Fight Time:,9.908
Avg TTK:,0.723
Damage Done:,83.0
Damage Taken:,0.0
Midairs:,0
Midaired:,0
Directs:,0
Directed:,0
Distance Traveled:,0.0
Score:,668.834961
Scenario:,1wall 6targets small
Hash:,7378a811f430b6072d052a75896afb98
Game Version:,2.0.2.0

Input Lag:,0
Max FPS (config):,144.0
Sens Scale:,Valorant
Horiz Sens:,0.6
Vert Sens:,0.6
FOV:,103.0
Hide Gun:,false
Crosshair:,plus.png
Crosshair Scale:,1.0
Crosshair Color:,FFFF00
