Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated
1,15:35:58.534,Pigeon,pistol,0.001s,1,1,1,50,125,0.4,false
2,15:35:58.978,Pigeon,pistol,0s,1,1,1,50,125,0.4,false
3,15:36:04.332,Pigeon,pistol,4.396s,7,1,0.143,50,875,0.057,false
4,15:36:07.151,Pigeon,pistol,1.368s,3,1,0.333,50,375,0.133,false
5,15:36:08.853,Pigeon,pistol,1.208s,2,1,0.5,50,250,0.2,false
6,15:36:09.735,Pigeon,pistol,0s,1,1,1,50,125,0.4,false
7,15:36:10.597,Pigeon,pistol,0.001s,1,1,1,50,125,0.4,false
8,15:36:10.978,Pigeon,pistol,0s,1,1,1,50,125,0.4,false
9,15:36:11.700,Pigeon,pistol,0s,1,1,1,50,125,0.4,false
10,15:36:12.283,Pigeon,pistol,0s,1,1,1,50,125,0.4,false
11,15:36:12.901,Pigeon,pistol,0s,1,1,1,50,125,0.4,false
12,15:36:13.909,Pigeon,pistol,0.402s,2,1,0.5,50,250,0.2,false
13,15:36:15.430,Pigeon,pistol,0.563s,2,1,0.5,50,250,0.2,false
14,15:36:16.444,Pigeon,pistol,0.318s,2,1,0.5,50,250,0.2,false
15,15:36:17.694,Pigeon,pistol,0.883s,2,1,0.5,50,250,0.2,false
16,15:36:18.263,Pigeon,pistol,0s,1,1,1,50,125,0.4,false
17,15:36:20.346,Pigeon,pistol,1.402s,2,1,0.5,50,250,0.2,false
18,15:36:23.960,Pigeon,pistol,2.634s,3,1,0.333,50,375,0.133,false
19,15:36:25.000,Pigeon,pistol,0s,1,1,1,50,125,0.4,false
20,15:36:26.174,Pigeon,pistol,0s,1,1,1,50,125,0.4,false
21,15:36:28.584,Pigeon,pistol,1.23s,2,1,0.5,50,250,0.2,false
22,15:36:31.320,Pigeon,pistol,2.062s,4,1,0.25,50,500,0.1,false
23,15:36:33.188,Pigeon,pistol,0.993s,2,1,0.5,50,250,0.2,false
24,15:36:33.785,Pigeon,pistol,0s,1,1,1,50,125,0.4,false
25,15:36:36.299,Pigeon,pistol,1.548s,3,1,0.333,50,375,0.133,false
26,15:36:37.410,Pigeon,pistol,0s,1,1,1,50,125,0.4,false
27,15:36:38.626,Pigeon,pistol,0s,1,1,1,50,125,0.4,false
28,15:36:39.105,Pigeon,pistol,0s,1,1,1,50,125,0.4,false
29,15:36:39.792,Pigeon,pistol,0s,1,1,1,50,125,0.4,false
30,15:36:41.251,Pigeon,pistol,0.959s,2,1,0.5,50,250,0.2,false
31,15:36:42.404,Pigeon,pistol,0s,1,1,1,50,125,0.4,false
32,15:36:43.827,Pigeon,pistol,1.013s,2,1,0.5,50,250,0.2,false
33,15:36:44.341,Pigeon,pistol,0s,1,1,1,50,125,0.4,false
34,15:36:45.028,Pigeon,pistol,0s,1,1,1,50,125,0.4,false
35,15:36:47.697,Pigeon,pistol,2.155s,3,1,0.333,50,375,0.133,false
36,15:36:48.947,Pigeon,pistol,0.001s,1,1,1,50,125,0.4,false
37,15:36:50.155,Pigeon,pistol,0.714s,2,1,0.5,50,250,0.2,false
38,15:36:51.447,Pigeon,pistol,0s,1,1,1,50,125,0.4,false
39,15:36:55.585,Pigeon,pistol,2.603s,5,1,0.2,50,625,0.08,false
40,15:36:56.127,Pigeon,pistol,0s,1,1,1,50,125,0.4,false
41,15:36:57.168,Pigeon,pistol,0s,1,1,1,50,125,0.4,false
42,15:36:58.706,Pigeon,pistol,0.389s,2,1,0.5,50,250,0.2,false
43,15:37:00.108,Pigeon,pistol,0.402s,2,1,0.5,50,250,0.2,false
44,15:37:01.566,Pigeon,pistol,0.389s,2,1,0.5,50,250,0.2,false
45,15:37:02.727,Pigeon,pistol,0.763s,2,1,0.5,50,250,0.2,false
46,15:37:04.907,Pigeon,pistol,1.173s,4,1,0.25,50,500,0.1,false
47,15:37:06.824,Pigeon,pistol,1.285s,3,1,0.333,50,375,0.133,false
48,15:37:07.143,Pigeon,pistol,0s,1,1,1,50,125,0.4,false

Weapon,Shots,Hits,Damage Done,Damage Possible,,Sens Scale,Horiz Sens,Vert Sens,FOV,Hide Gun,Crosshair,Crosshair Scale,Crosshair Color,ADS Sens,ADS Zoom Scale
pistol,89,48,2400.0,11125.0,

Kills:,48
Deaths:,0
Fight Time:,30.855
Avg TTK:,1.471
Damage Done:,2400.0
Damage Taken:,0.0
Midairs:,0
Midaired:,0
Directs:,0
Directed:,0
Distance Traveled:,0.0
Score:,25.88764
Scenario:,Bounce 180
Hash:,28c00569c77cdbb9a321ffb8a8363220
Game Version:,2.0.2.0

Input Lag:,0
Max FPS (config):,144.0
Sens Scale:,Valorant
Horiz Sens:,0.6
Vert Sens:,0.6
FOV:,103.0
Hide Gun:,false
Crosshair:,plus.png
Crosshair Scale:,1.0
Crosshair Color:,FFFF00
