Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated
1,06:35:34.015,Shinji small Bot,pistol,0s,1,1,1,2000,2000,1,false
2,06:35:34.672,Shinji Bot,pistol,0.001s,1,1,1,2000,2000,1,false
3,06:35:35.567,Shinji small Bot,pistol,0.486s,2,1,0.5,2000,4000,0.5,false
4,06:35:36.053,Shinji Bot,pistol,0s,1,1,1,2000,2000,1,false
5,06:35:36.622,Shinji small Bot,pistol,0s,1,1,1,2000,2000,1,false
6,06:35:37.136,Shinji Bot,pistol,0s,1,1,1,2000,2000,1,false
7,06:35:37.657,Shinji small Bot,pistol,0s,1,1,1,2000,2000,1,false
8,06:35:38.172,Shinji Bot,pistol,0.001s,1,1,1,2000,2000,1,false
9,06:35:38.519,Shinji Bot,pistol,0s,1,1,1,2000,2000,1,false
10,06:35:38.908,Shinji Bot,pistol,0.001s,1,1,1,2000,2000,1,false
11,06:35:39.415,Shinji small Bot,pistol,0s,1,1,1,2000,2000,1,false
12,06:35:41.352,Shinji small Bot,pistol,1.299s,3,1,0.333,2000,6000,0.333,false
13,06:35:41.859,Shinji small Bot,pistol,0s,1,1,1,2000,2000,1,false
14,06:35:42.463,Shinji Bot,pistol,0s,1,1,1,2000,2000,1,false
15,06:35:42.838,Shinji Bot,pistol,0s,1,1,1,2000,2000,1,false
16,06:35:43.442,Shinji Bot,pistol,0s,1,1,1,2000,2000,1,false
17,06:35:43.928,Shinji small Bot,pistol,0s,1,1,1,2000,2000,1,false
18,06:35:44.525,Shinji Bot,pistol,0s,1,1,1,2000,2000,1,false
19,06:35:44.963,Shinji Bot,pistol,0s,1,1,1,2000,2000,1,false
20,06:35:45.497,Shinji Bot,pistol,0s,1,1,1,2000,2000,1,false
21,06:35:45.970,Shinji small Bot,pistol,0.001s,1,1,1,2000,2000,1,false
22,06:35:46.484,Shinji Bot,pistol,0s,1,1,1,2000,2000,1,false
23,06:35:46.936,Shinji small Bot,pistol,0s,1,1,1,2000,2000,1,false
24,06:35:47.318,Shinji Bot,pistol,0s,1,1,1,2000,2000,1,false
25,06:35:47.818,Shinji Bot,pistol,0s,1,1,1,2000,2000,1,false
26,06:35:48.380,Shinji small Bot,pistol,0s,1,1,1,2000,2000,1,false
27,06:35:48.866,Shinji small Bot,pistol,0s,1,1,1,2000,2000,1,false
28,06:35:49.325,Shinji Bot,pistol,0s,1,1,1,2000,2000,1,false
29,06:35:49.700,Shinji Bot,pistol,0s,1,1,1,2000,2000,1,false
30,06:35:50.401,Shinji small Bot,pistol,0.291s,2,1,0.5,2000,4000,0.5,false
31,06:35:50.687,Shinji Bot,pistol,0s,1,1,1,2000,2000,1,false
32,06:35:51.409,Shinji small Bot,pistol,0s,1,1,1,2000,2000,1,false
33,06:35:52.152,Shinji Bot,pistol,0s,1,1,1,2000,2000,1,false
34,06:35:52.763,Shinji Bot,pistol,0.001s,1,1,1,2000,2000,1,false
35,06:35:53.193,Shinji small Bot,pistol,0s,1,1,1,2000,2000,1,false
36,06:35:53.471,Shinji Bot,pistol,0s,1,1,1,2000,2000,1,false
37,06:35:53.888,Shinji Bot,pistol,0.001s,1,1,1,2000,2000,1,false
38,06:35:54.235,Shinji Bot,pistol,0s,1,1,1,2000,2000,1,false
39,06:35:54.693,Shinji small Bot,pistol,0s,1,1,1,2000,2000,1,false
40,06:35:55.277,Shinji Bot,pistol,0s,1,1,1,2000,2000,1,false
41,06:35:55.763,Shinji Bot,pistol,0s,1,1,1,2000,2000,1,false
42,06:35:56.825,Shinji small Bot,pistol,0.34s,2,1,0.5,2000,4000,0.5,false
43,06:35:57.457,Shinji Bot,pistol,0s,1,1,1,2000,2000,1,false
44,06:35:58.145,Shinji small Bot,pistol,0s,1,1,1,2000,2000,1,false
45,06:35:58.562,Shinji Bot,pistol,0s,1,1,1,2000,2000,1,false
46,06:35:59.055,Shinji Bot,pistol,0s,1,1,1,2000,2000,1,false
47,06:35:59.610,Shinji small Bot,pistol,0s,1,1,1,2000,2000,1,false
48,06:36:00.089,Shinji Bot,pistol,0s,1,1,1,2000,2000,1,false
49,06:36:00.735,Shinji Bot,pistol,0s,1,1,1,2000,2000,1,false
50,06:36:01.402,Shinji small Bot,pistol,0.285s,2,1,0.5,2000,4000,0.5,false
51,06:36:01.999,Shinji Bot,pistol,0s,1,1,1,2000,2000,1,false
52,06:36:02.465,Shinji small Bot,pistol,0s,1,1,1,2000,2000,1,false
53,06:36:02.972,Shinji Bot,pistol,0s,1,1,1,2000,2000,1,false
54,06:36:03.520,Shinji Bot,pistol,0s,1,1,1,2000,2000,1,false
55,06:36:03.992,Shinji small Bot,pistol,0s,1,1,1,2000,2000,1,false
56,06:36:04.548,Shinji small Bot,pistol,0s,1,1,1,2000,2000,1,false
57,06:36:04.957,Shinji small Bot,pistol,0s,1,1,1,2000,2000,1,false
58,06:36:05.471,Shinji Bot,pistol,0s,1,1,1,2000,2000,1,false
