Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated
1,15:34:27.968,Pigeon,pistol,0s,1,1,1,50,125,0.4,false
2,15:34:28.860,Pigeon,pistol,0.343s,2,1,0.5,50,250,0.2,false
3,15:34:29.835,Pigeon,pistol,0s,1,1,1,50,125,0.4,false
4,15:34:31.071,Pigeon,pistol,0.292s,2,1,0.5,50,250,0.2,false
5,15:34:32.278,Pigeon,pistol,0s,1,1,1,50,125,0.4,false
6,15:34:34.084,Pigeon,pistol,0.321s,2,1,0.5,50,250,0.2,false
7,15:34:35.013,Pigeon,pistol,0s,1,1,1,50,125,0.4,false
8,15:34:35.951,Pigeon,pistol,0s,1,1,1,50,125,0.4,false
9,15:34:39.263,Pigeon,pistol,2.001s,4,1,0.25,50,500,0.1,false
10,15:34:39.747,Pigeon,pistol,0s,1,1,1,50,125,0.4,false
11,15:34:40.466,Pigeon,pistol,0s,1,1,1,50,125,0.4,false
12,15:34:42.055,Pigeon,pistol,0.966s,2,1,0.5,50,250,0.2,false
13,15:34:43.525,Pigeon,pistol,1.01s,3,1,0.333,50,375,0.133,false
14,15:34:45.129,Pigeon,pistol,1.072s,3,1,0.333,50,375,0.133,false
15,15:34:46.138,Pigeon,pistol,0s,1,1,1,50,125,0.4,false
16,15:34:47.199,Pigeon,pistol,0s,1,1,1,50,125,0.4,false
17,15:34:49.074,Pigeon,pistol,1s,2,1,0.5,50,250,0.2,false
18,15:34:50.440,Pigeon,pistol,0.811s,2,1,0.5,50,250,0.2,false
19,15:34:53.078,Pigeon,pistol,2.129s,4,1,0.25,50,500,0.1,false
20,15:34:54.285,Pigeon,pistol,0s,1,1,1,50,125,0.4,false
21,15:34:54.725,Pigeon,pistol,0.001s,1,1,1,50,125,0.4,false
22,15:34:55.415,Pigeon,pistol,0s,1,1,1,50,125,0.4,false
23,15:34:56.404,Pigeon,pistol,0s,1,1,1,50,125,0.4,false
24,15:34:57.366,Pigeon,pistol,0s,1,1,1,50,125,0.4,false
25,15:34:58.920,Pigeon,pistol,0.87s,2,1,0.5,50,250,0.2,false
26,15:34:59.925,Pigeon,pistol,0s,1,1,1,50,125,0.4,false
27,15:35:00.331,Pigeon,pistol,0s,1,1,1,50,125,0.4,false
28,15:35:01.334,Pigeon,pistol,0.391s,2,1,0.5,50,250,0.2,false
29,15:35:02.420,Pigeon,pistol,0s,1,1,1,50,125,0.4,false
30,15:35:03.872,Pigeon,pistol,0.783s,3,1,0.333,50,375,0.133,false
31,15:35:04.688,Pigeon,pistol,0s,1,1,1,50,125,0.4,false
32,15:35:05.686,Pigeon,pistol,0.671s,2,1,0.5,50,250,0.2,false
33,15:35:06.953,Pigeon,pistol,0s,1,1,1,50,125,0.4,false
34,15:35:08.382,Pigeon,pistol,0.679s,2,1,0.5,50,250,0.2,false
35,15:35:10.015,Pigeon,pistol,0.896s,2,1,0.5,50,250,0.2,false
36,15:35:13.121,Pigeon,pistol,2.08s,5,1,0.2,50,625,0.08,false
37,15:35:15.123,Pigeon,pistol,0.847s,2,1,0.5,50,250,0.2,false
38,15:35:15.856,Pigeon,pistol,0s,1,1,1,50,125,0.4,false
39,15:35:16.717,Pigeon,pistol,0.253s,2,1,0.5,50,250,0.2,false
40,15:35:17.209,Pigeon,pistol,0s,1,1,1,50,125,0.4,false
41,15:35:18.462,Pigeon,pistol,0s,1,1,1,50,125,0.4,false
42,15:35:20.745,Pigeon,pistol,1.454s,4,1,0.25,50,500,0.1,false
43,15:35:21.445,Pigeon,pistol,0s,1,1,1,50,125,0.4,false
44,15:35:23.119,Pigeon,pistol,1.144s,3,1,0.333,50,375,0.133,false
45,15:35:23.932,Pigeon,pistol,0s,1,1,1,50,125,0.4,false
46,15:35:24.353,Pigeon,pistol,0s,1,1,1,50,125,0.4,false
47,15:35:24.913,Pigeon,pistol,0s,1,1,1,50,125,0.4,false
48,15:35:26.237,Pigeon,pistol,0.574s,2,1,0.5,50,250,0.2,false
49,15:35:26.988,Pigeon,pistol,0s,1,1,1,50,125,0.4,false
50,15:35:28.483,Pigeon,pistol,0.551s,2,1,0.5,50,250,0.2,false
51,15:35:29.204,Pigeon,pistol,0s,1,1,1,50,125,0.4,false
52,15:35:32.743,Pigeon,pistol,2.98s,5,1,0.2,50,625,0.08,false
53,15:35:33.415,Pigeon,pistol,0.001s,1,1,1,50,125,0.4,false
54,15:35:34.766,Pigeon,pistol,0.375s,2,1,0.5,50,250,0.2,false
55,15:35:36.013,Pigeon,pistol,0s,1,1,1,50,125,0.4,false
56,15:35:37.080,Pigeon,pistol,0s,1,1,1,50,125,0.4,false

Weapon,Shots,Hits,Damage Done,Damage Possible,,Sens Scale,Horiz Sens,Vert Sens,FOV,Hide Gun,Crosshair,Crosshair Scale,Crosshair Color,ADS Sens,ADS Zoom Scale
pistol,97,56,2800.0,12125.0,

Kills:,56
Deaths:,0
Fight Time:,24.495001
Avg TTK:,1.261
Damage Done:,2800.0
Damage Taken:,0.0
Midairs:,0
Midaired:,0
Directs:,0
Directed:,0
Distance Traveled:,0.0
Score:,32.329895
Scenario:,Bounce 180
Hash:,28c00569c77cdbb9a321ffb8a8363220
Game Version:,2.0.2.0

Input Lag:,0
Max FPS (config):,202.0
Sens Scale:,Valorant
Horiz Sens:,0.6
Vert Sens:,0.6
FOV:,103.0
Hide Gun:,false
Crosshair:,plus.png
Crosshair Scale:,1.0
Crosshair Color:,FFFF00
