Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated
1,06:19:04.431,Regenerating Pokeball,Poke-Drill,1.124s,14,11,0.786,2.2,2.8,0.786,false
2,06:19:05.182,Regenerating Pokeball,Poke-Drill,0.048s,6,6,1,1.2,1.2,1,false
3,06:19:05.980,Regenerating Pokeball,Poke-Drill,0.048s,6,6,1,1.2,1.2,1,false
4,06:19:06.834,Regenerating Pokeball,Poke-Drill,0.076s,9,9,1,1.8,1.8,1,false
5,06:19:07.633,Regenerating Pokeball,Poke-Drill,0.333s,15,9,0.6,1.8,3,0.6,false
6,06:19:08.292,Regenerating Pokeball,Poke-Drill,0.048s,6,6,1,1.2,1.2,1,false
7,06:19:09.105,Regenerating Pokeball,Poke-Drill,0.097s,11,11,1,2.2,2.2,1,false
8,06:19:09.737,Regenerating Pokeball,Poke-Drill,0.069s,8,8,1,1.6,1.6,1,false
9,06:19:10.515,Regenerating Pokeball,Poke-Drill,0.076s,9,9,1,1.8,1.8,1,false
10,06:19:11.175,Regenerating Pokeball,Poke-Drill,0.097s,11,11,1,2.2,2.2,1,false
11,06:19:11.945,Regenerating Pokeball,Poke-Drill,0.049s,6,6,1,1.2,1.2,1,false
12,06:19:12.397,Regenerating Pokeball,Poke-Drill,0.069s,8,8,1,1.6,1.6,1,false
13,06:19:12.862,Regenerating Pokeball,Poke-Drill,0.048s,6,6,1,1.2,1.2,1,false
14,06:19:13.946,Regenerating Pokeball,Poke-Drill,0.404s,27,13,0.481,2.6,5.4,0.481,false
15,06:19:15.543,Regenerating Pokeball,Poke-Drill,1.013s,27,6,0.222,1.2,5.4,0.222,false
16,06:19:16.355,Regenerating Pokeball,Poke-Drill,0.049s,6,6,1,1.2,1.2,1,false
17,06:19:17.181,Regenerating Pokeball,Poke-Drill,0.048s,6,6,1,1.2,1.2,1,false
18,06:19:18.028,Regenerating Pokeball,Poke-Drill,0.097s,11,11,1,2.2,2.2,1,false
19,06:19:18.703,Regenerating Pokeball,Poke-Drill,0.049s,6,6,1,1.2,1.2,1,false
20,06:19:19.203,Regenerating Pokeball,Poke-Drill,0.097s,11,11,1,2.2,2.2,1,false
21,06:19:20.334,Regenerating Pokeball,Poke-Drill,0.659s,27,15,0.556,3,5.4,0.556,false
22,06:19:21.168,Regenerating Pokeball,Poke-Drill,0.097s,11,11,1,2.2,2.2,1,false
23,06:19:22.036,Regenerating Pokeball,Poke-Drill,0.097s,11,11,1,2.2,2.2,1,false
24,06:19:22.807,Regenerating Pokeball,Poke-Drill,0.048s,6,6,1,1.2,1.2,1,false
25,06:19:23.515,Regenerating Pokeball,Poke-Drill,0.076s,9,9,1,1.8,1.8,1,false
26,06:19:24.279,Regenerating Pokeball,Poke-Drill,0.075s,9,9,1,1.8,1.8,1,false
27,06:19:25.633,Regenerating Pokeball,Poke-Drill,0.709s,33,10,0.303,2,6.6,0.303,false
28,06:19:26.800,Regenerating Pokeball,Poke-Drill,0.972s,40,10,0.25,2,8,0.25,false
29,06:19:27.772,Regenerating Pokeball,Poke-Drill,0.048s,6,6,1,1.2,1.2,1,false
30,06:19:28.321,Regenerating Pokeball,Poke-Drill,0.097s,11,11,1,2.2,2.2,1,false
31,06:19:28.786,Regenerating Pokeball,Poke-Drill,0.083s,10,10,1,2,2,1,false
